# titre;groupes;users;steps;videos;comment;Musique
A A;;;;https://www.youtube.com/watch?v=wzjnQ9VklyI;
A Beautiful Girl;dr;pc;;https://www.youtube.com/watch?v=gHmlaT2NX7M;(ntnr)
A Little Bit Louder;;;A_Little_Bit_Louder.pdf;https://www.youtube.com/watch?v=5GVpQmkvEZM&list=RD5GVpQmkvEZM&start_radio=1;(ntnr)
AB Alright, Already;;;;https://www.youtube.com/watch?v=q4L5UXlPb7E;
AB Wild Heart;;pc;AB_Wild_Hearts.pdf;https://www.youtube.com/watch?v=mvZtpONmoHA;(ntnr)
A Country High;a;p;A%20Country%20High.pdf;https://www.youtube.com/watch?v=BsWeUZ8BJKA;(ntnr), départ step pied gauche
Ah si!;dm;pc;;https://www.youtube.com/watch?v=v9qjSiGmMqI;;Levantando Los Manos
Agua Y Fuego;m;cp;Agua%20Y%20Fuego.pdf;https://www.youtube.com/watch?v=19qCbfGLuF8;;Agua Y Fuego
Amarillo by morning;;p;Amarillo_By_Morning.pdf;https://www.youtube.com/watch?v=ZFye-eBwC_s&t=220s|https://www.youtube.com/watch?v=3dJBnUX7BLc;(t2, t4, r5 après 16 count, pause 4 temps après 16c du wall 8);Amarillo By Morning
Angel And Corona;;;;https://www.youtube.com/watch?v=cv-m0LHb0ag;
Angelina;;cp;Angelina.pdf;https://www.youtube.com/watch?v=C2apVmgXQGk;
Alaska Dream;;pc;;https://www.youtube.com/watch?v=i61o_c_MZqs&t=141s;(r7 après 16 comptes);Blue Wing
Alive Again;a;p;Alive_Again.pdf;https://www.youtube.com/watch?v=5GW2P5t876w;(r3, r6);Indie Folk Mix - UNSECRET & Chuck Adams
All The Way Up;;;;https://www.youtube.com/watch?v=WYtq2jiQru4;
All Shook Up;;p;;https://www.youtube.com/watch?v=mbBB4vn88Mc;(A AB AB)
All Together;;pc;All_Together.pdf;https://www.youtube.com/watch?v=EYlCpOmQs3U;(ntnr)
Arizona Freeze;;cp;;https://www.youtube.com/watch?v=8bjckD68bQw;
Avicii;;cp;;https://www.youtube.com/watch?v=yVjjuOqMQIw;
Back On Monday;i;cp;Back%20On%20Monday.pdf;https://www.youtube.com/watch?v=YPr99_0NYCA&t=0s;(ntnr)
Back To The Start;mr;pc;Back_To_The_Start.pdf;https://www.youtube.com/watch?v=GR25zC4WePo;(r5 face à 3h);Back To The Start
Bad Fiddling;a;p;Bad%20Fiddling.pdf;https://www.youtube.com/watch?v=8RbvyKrxt6k;(AAB AAAAAA a AAB AA)
